event_region_id,region,region_label,year,start_date,end_date,duration_days,deaths,total_affected,precip_mm,severity_score,severity_tier,split,event_inventory_source,era5_summary_status,era5_window_mean_hourly_precip_mm,era5_window_max_t2m_c
east_africa_nile_headwaters__EMDAT_2022-0650-SSD,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2022,2022-08-01,2022-10-29,90,,1000000.0,399.7760009765625,1003.9977600097657,extreme,test,EM-DAT Public Table,ok,0.1601666659116745,31.45590209960937
east_africa_nile_headwaters__EMDAT_2022-0716-ETH,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2022,2022-08-01,2022-10-31,92,,264831.0,403.5921630859375,268.8669216308594,moderate,test,EM-DAT Public Table,ok,0.1586447209119796,31.45590209960937
east_africa_nile_headwaters__EMDAT_2022-0857-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2022,2022-12-20,2022-12-26,7,16.0,130.0,32.4671630859375,16.454671630859373,moderate,test,EM-DAT Public Table,ok,0.0644189715385437,30.85165405273437
east_africa_nile_headwaters__EMDAT_2023-0187-ETH,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-03-25,2023-05-12,49,91.0,240000.0,219.70657348632807,333.19706573486326,moderate,test,EM-DAT Public Table,ok,0.1453085839748382,34.055145263671875
east_africa_nile_headwaters__EMDAT_2023-0187-KEN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-03-25,2023-03-30,6,36.0,139164.0,74.64633178710938,175.91046331787112,moderate,test,EM-DAT Public Table,ok,0.155513197183609,32.331817626953125
east_africa_nile_headwaters__EMDAT_2023-0236-TZA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-04-01,2023-04-02,2,,1976.0,51.96343231201172,2.4956343231201172,moderate,test,EM-DAT Public Table,ok,0.1353214383125305,33.218231201171875
east_africa_nile_headwaters__EMDAT_2023-0226-TZA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-04-12,2023-04-17,6,13.0,24.0,53.2575569152832,13.55657556915283,moderate,test,EM-DAT Public Table,ok,0.1109532415866851,34.055145263671875
east_africa_nile_headwaters__EMDAT_2023-0262-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-04-24,2023-05-18,25,23.0,1016.0,136.27066040039062,25.378706604003906,moderate,test,EM-DAT Public Table,ok,0.1455883085727691,33.646026611328125
east_africa_nile_headwaters__EMDAT_2023-0259-KEN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-04-25,2023-04-27,3,,22500.0,95.54100036621094,23.45541000366211,moderate,test,EM-DAT Public Table,ok,0.2341691255569458,33.4739990234375
east_africa_nile_headwaters__EMDAT_2023-0728-ETH,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-10-01,2023-11-30,61,60.0,1500000.0,278.9481811523437,1562.7894818115235,extreme,test,EM-DAT Public Table,ok,0.1549712121486663,33.067291259765625
east_africa_nile_headwaters__EMDAT_2023-0721-KEN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-10-15,2024-12-31,444,178.0,695497.0,1316.8963623046875,886.665963623047,extreme,test,EM-DAT Public Table,ok,0.1216644793748855,35.581573486328125
east_africa_nile_headwaters__EMDAT_2023-0807-TZA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-10-15,2023-11-23,40,38.0,2896500.0,234.4439392089844,2936.84443939209,extreme,test,EM-DAT Public Table,ok,0.1808981001377105,32.9437255859375
east_africa_nile_headwaters__EMDAT_2023-0809-BDI,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-10-26,2023-12-27,63,7.0,9346.0,256.13006591796875,18.907300659179686,moderate,test,EM-DAT Public Table,ok,0.1385985165834427,31.7935791015625
east_africa_nile_headwaters__EMDAT_2024-0150-KEN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2024,2024-03-24,2024-05-03,41,353.0,306708.0,191.11753845214844,661.6191753845216,extreme,test,EM-DAT Public Table,ok,0.1447860151529312,35.259979248046875
east_africa_nile_headwaters__EMDAT_2024-0231-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2024,2024-04-01,2024-05-31,61,77.0,57804.0,231.9478759765625,137.12347875976562,moderate,test,EM-DAT Public Table,ok,0.1288599371910095,34.508941650390625
east_africa_nile_headwaters__EMDAT_2024-0341-ETH,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2024,2024-04-01,2024-05-24,54,5.0,181548.0,220.69866943359372,188.75498669433594,moderate,test,EM-DAT Public Table,ok,0.1352320313453674,34.508941650390625
east_africa_nile_headwaters__EMDAT_2024-0203-TZA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2024,2024-04-02,2024-05-02,31,155.0,200236.0,174.92144775390625,356.98521447753905,moderate,test,EM-DAT Public Table,ok,0.1619642972946167,34.04351806640625
east_africa_nile_headwaters__EMDAT_2024-0210-KEN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2024,2024-04-11,2024-04-12,2,13.0,15002.0,54.47229766845703,28.546722976684574,moderate,test,EM-DAT Public Table,ok,0.1418549418449401,34.04351806640625
east_africa_nile_headwaters__EMDAT_2024-0247-KEN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2024,2024-04-23,2024-04-24,2,10.0,,61.81208419799805,10.61812084197998,moderate,test,EM-DAT Public Table,ok,0.1609689742326736,34.04351806640625
east_africa_nile_headwaters__EMDAT_2024-0544-SDN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2024,2024-06-01,2024-08-27,88,132.0,317107.0,386.3333740234375,452.9703337402344,extreme,test,EM-DAT Public Table,ok,0.1578159183263778,33.4195556640625
east_africa_nile_headwaters__EMDAT_2024-0673-SSD,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2024,2024-08-01,2024-10-31,92,,1400000.0,450.9681396484375,1404.5096813964844,extreme,test,EM-DAT Public Table,ok,0.1772673577070236,31.1112060546875
