region,scenario,model,n_hours,total_precip_mm,peak_precip_mm_h,peak_depth_m,NSE,CSI,TSS,delta_mass_pct,RMSE,MAE
east_africa_nile_headwaters,S1_extreme_monsoon,PADR-Net-0,240,134.63980843361963,4.933461221163727,0.1,0.3662637373351696,0.7631578947368322,0.8777777777777622,12.114676085923238,0.0067391066348054494,0.001374983280348172
east_africa_nile_headwaters,S1_extreme_monsoon,Persistence,240,134.63980843361963,4.933461221163727,0.1,0.06842107958939658,0.6351351351351266,0.7055555555555428,11.792472255235372,0.008170673861041164,0.0026774847626062502
east_africa_nile_headwaters,S2_cyclone_flash,PADR-Net-lambda,168,114.08616522931459,3.4622706996014108,0.1,0.2529743482628052,0.8723404255318963,0.9365079365079135,10.772632480935714,0.007631010948561219,0.0007914541425899164
east_africa_nile_headwaters,S2_cyclone_flash,PADR-Net-0,168,114.08616522931459,3.4622706996014108,0.1,0.2530940249539039,0.8723404255318963,0.9365079365079135,10.772753799636364,0.007630399663849865,0.0007916142694586222
east_africa_nile_headwaters,S2_cyclone_flash,Persistence,168,114.08616522931459,3.4622706996014108,0.1,0.23990242662979477,0.9318181818181606,0.9603174603174371,13.620961049289065,0.007697487496616587,0.0010278887572458203
east_africa_nile_headwaters,S3_seasonal_sequence,PADR-Net-lambda,4320,1967.4378165255716,13.18706853625114,0.1,0.5053851556139419,0.9363228699551562,0.9558641975308634,7.3488066580059845,0.004318670566047939,0.0003915240419633439
east_africa_nile_headwaters,S3_seasonal_sequence,PADR-Net-0,4320,1967.4378165255716,13.18706853625114,0.1,0.5045288509713068,0.9363228699551562,0.9558641975308634,7.353919684377459,0.004322407310399392,0.0003915254326874484
east_africa_nile_headwaters,S3_seasonal_sequence,Persistence,4320,1967.4378165255716,13.18706853625114,0.1,0.09160197068641796,0.48624484181568056,0.5391975308641971,0.9064527377868509,0.0058526775196058095,0.0023716103003383676
southern_africa_limpopo_zambezi,S1_extreme_monsoon,PADR-Net-lambda,240,67.88139598537242,6.100500153868558,0.1,0.32412832558015947,0.6666666666666591,0.8166666666666514,8.631264803345623,0.006394953682012313,0.001049837549089055
southern_africa_limpopo_zambezi,S1_extreme_monsoon,PADR-Net-0,240,67.88139598537242,6.100500153868558,0.1,0.3239909384754235,0.6666666666666591,0.8166666666666514,8.723331876572564,0.006395603612731976,0.0010512803237416432
southern_africa_limpopo_zambezi,S1_extreme_monsoon,Persistence,240,67.88139598537242,6.100500153868558,0.1,0.08926710680968097,0.9516129032257911,0.9722222222222059,20.959159985723478,0.007423364601729107,0.0014213246114509694
southern_africa_limpopo_zambezi,S2_cyclone_flash,PADR-Net-lambda,168,55.8294663205779,3.082778428497613,0.1,0.17248566659868336,0.9523809523809297,0.9523809523809297,19.2910149801081,0.007689254392024345,0.0007395927229609725
southern_africa_limpopo_zambezi,S2_cyclone_flash,PADR-Net-0,168,55.8294663205779,3.082778428497613,0.1,0.1725384019724926,0.9523809523809297,0.9523809523809297,19.27810674225081,0.007689009379854273,0.0007398197702618967
southern_africa_limpopo_zambezi,S2_cyclone_flash,Persistence,168,55.8294663205779,3.082778428497613,0.1,0.18422396818824383,0.9318181818181606,0.9603174603174371,24.38050044453581,0.007634523522470062,0.0008556348833685482
southern_africa_limpopo_zambezi,S3_seasonal_sequence,PADR-Net-lambda,4320,1205.9311445893482,7.136030911309542,0.1,0.7100405101350054,0.935168738898756,0.9608024691358017,3.451103601043083,0.0017551065097679344,0.00018733413075220577
southern_africa_limpopo_zambezi,S3_seasonal_sequence,PADR-Net-0,4320,1205.9311445893482,7.136030911309542,0.1,0.7099893725830324,0.935168738898756,0.9608024691358017,3.451606318928472,0.0017552612691337515,0.00018732080155133232
southern_africa_limpopo_zambezi,S3_seasonal_sequence,Persistence,4320,1205.9311445893482,7.136030911309542,0.1,-0.10524993950309436,0.3915003219575014,0.41697530864197485,1.4706442524261145,0.003426613041390675,0.001602460856836997
